date,松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2022-02-01,1202,2640,5926,16323,3423,2511,2539,1653,886,2690,609,1075,3310,1404,4761,1341,1755,1168,2954,1047,1725,2473,826,5357,1820,5239,3976,4937,5746,4601,3114,6084,3435,6281,3571,980,10597,6885,7287,7589,1923,47271,14711,5441,4692,8291,7069,7286,6994,3166,7086,2358,3212,5481,2315,1478,1093,6362,2905,4921,14179,2540,3434,2383,6359,4752,8570,14648,9765,7009,19210,23131,3082,9608,7424,3763,22493,4784,5231,2818,7038,2937,8383,3692,1995,2957,4725,3455,4262,7437,1643,2704,1781,861,2039,2841,3513,3713,4064,13116,4642,3456,3805,3654,3497,4034,2755,2452,387,925,1452,1940,305,514,720,4072,593,1342,1259
2022-02-02,1532,3232,7542,17686,4565,2992,3127,1905,1053,3108,676,1258,3694,1838,5377,1773,2368,1660,3609,1641,2102,3723,973,6591,2139,7145,5146,6270,7118,5837,3993,7890,4381,7679,5758,1317,13895,9242,9380,9668,2397,53118,17177,5676,5553,10760,10290,9982,9641,3978,9546,3302,3455,8004,3309,1878,1062,6532,4183,6225,20864,3319,4219,2886,8141,6058,9939,16939,12118,8905,17369,27458,3292,11897,9038,4620,24414,6267,6110,3622,7977,3731,9784,4822,2876,3747,5654,3867,5335,7998,2212,3587,2258,1091,2841,3660,4994,4614,4782,9681,6319,4367,4917,5068,4607,5411,3696,3332,386,1489,1823,2683,527,772,992,4744,942,1949,1694
2022-02-03,1181,3154,8013,18500,4475,2995,3009,1722,1084,3035,657,1250,2344,1805,5202,1709,2430,1588,3494,1173,2162,2913,1204,6448,2224,5360,4798,5783,6723,5243,3658,7403,4202,7321,4788,977,12750,8308,8406,8332,2983,49800,18116,5775,5314,8224,7882,8586,8340,3394,8449,2637,2696,6226,3049,1297,665,4234,3306,5064,12967,2868,3644,2640,7251,5505,8641,15738,11025,8029,12372,27211,3325,12212,11128,5350,25782,6082,5618,3353,7708,3064,9849,4891,2133,3394,6524,4110,5076,6365,2044,2967,2022,966,2405,3041,4340,4151,4929,7487,6135,4091,4050,4534,4140,4397,3085,2873,404,1275,1757,2498,512,620,820,4044,829,1739,1460
2022-02-04,1097,4314,10660,23967,6495,3887,3891,2114,1384,4516,767,1645,2969,2489,6691,2380,3269,2190,4524,1622,2897,4643,1453,8217,2608,6883,5931,7152,8494,6934,4775,10234,6166,10281,6846,1531,16356,11236,11189,10753,5939,56028,25611,9245,7473,11692,11756,12206,11217,5115,11863,3584,3529,8798,3891,1949,1396,6529,4666,6644,18401,3529,4660,3276,9499,7824,12377,18670,14865,11033,17231,36458,4406,17295,15872,7336,30862,7780,7506,4459,8872,4170,11894,6900,3286,4821,8521,5722,7226,9553,3070,4320,2790,1333,3869,4177,6015,5571,6457,10792,8789,5625,5737,5970,5311,5953,4010,3955,473,1632,2164,3048,711,838,1206,4515,1082,2202,1856
2022-02-05,1290,5127,12355,26886,7662,4740,4685,2508,1599,4964,946,1851,5233,3066,7008,2795,3850,2456,5383,2330,3219,6082,1562,9409,2817,8604,6562,8529,9737,8333,5442,13122,7500,12606,8897,1862,19231,13138,12587,12185,3920,60295,29085,10025,8990,14517,14248,14936,12379,5536,13346,4032,3900,10497,4854,2321,1256,7461,5596,8088,24351,4155,5641,3778,10932,9100,14659,20393,17505,12923,19311,41885,5634,20470,18653,9155,33477,9047,8586,5091,9355,5288,13143,7934,4305,5704,10037,9461,8354,10811,3584,5199,3087,1480,5976,4829,6780,6557,7553,12192,10471,6096,6271,6539,6083,6586,4660,4565,553,1779,2312,3404,768,901,1353,4785,1420,2446,1881
2022-02-06,1575,5112,11959,24708,7398,5083,4630,2587,1753,4602,997,1829,4914,3605,6857,3211,4140,2529,5192,2643,3267,6432,1484,9898,2729,9200,6706,8217,9808,8828,5763,14341,8397,13061,9756,2012,19276,12799,12231,11404,3893,61600,27744,8733,9951,15280,13886,14641,12397,5111,13276,4003,3518,10782,4337,2239,1187,7088,5527,7419,24564,4015,5595,3650,10652,8400,13870,19849,17338,12894,18190,38817,6067,19191,16497,9449,30678,9760,8610,5526,9308,5807,12118,7494,5184,6240,9928,9377,8527,9965,3658,4886,3043,1500,5801,4636,6309,6557,7614,12375,11561,6038,5951,6169,6044,6300,4601,4388,578,1667,2203,3051,783,1016,1260,4651,1364,2345,1938
2022-02-07,2776,11189,34665,31752,17383,10310,8940,3338,2682,10108,1697,3061,3783,6011,8754,13236,13329,3797,7845,2752,6355,7645,4836,20839,2822,9454,10974,12973,19006,12206,8300,19279,12793,25217,17967,5881,29475,21569,21620,16548,20260,87615,33063,17471,17148,19430,16277,18963,18162,9600,24106,5714,6528,14063,3822,3010,2828,9726,7775,10109,23516,7368,9735,6462,18129,18098,21009,29863,29901,21663,20518,45528,13889,24690,26256,15895,45786,15341,12861,11722,14493,10140,20722,15965,5777,9193,30400,18218,19637,19236,6693,8652,4744,4270,6006,8180,8431,9048,13679,23752,16673,10728,9802,10405,9902,9909,7887,7459,1015,2363,3513,4134,2100,3134,2486,6027,1907,3288,4036
2022-02-08,2754,11484,36132,32784,18030,10616,9184,3249,2850,10368,1727,3107,3939,6197,8979,13835,13819,3840,7814,2712,6430,7213,5093,21780,2642,9271,10928,13115,19139,12772,8320,19382,13181,26231,18792,6076,29532,21830,21517,16595,20422,87076,34932,17586,17858,20017,16799,19536,18865,9598,24424,5724,6430,14697,3798,3155,2984,9469,7822,9976,21913,7420,10014,6569,18351,18959,21728,29973,30640,22190,20721,46240,15404,26097,27695,16856,46930,15871,13023,12118,14521,10321,21216,16062,5939,9371,31605,19175,19891,19914,7040,8830,4883,4357,6358,8284,8523,9208,13466,24071,17557,11019,9931,10555,9815,9952,8197,7756,1066,2243,3488,4217,2163,3229,2611,6337,1982,3323,4315
2022-02-09,2868,11571,35856,33767,18064,10769,9101,3323,2826,10430,1742,3081,3954,6133,8960,13778,13990,3942,7832,2564,6492,7161,5239,21821,2637,9514,11129,12850,19586,12497,8171,20575,13748,26843,18871,6230,29621,21505,21638,16476,20405,90429,35708,17677,17717,19712,16716,19277,19034,9613,24896,5801,6527,14671,3660,3077,2924,9619,7776,9995,21859,7547,9964,6496,18327,19081,21463,30384,30538,21987,19939,46660,15860,26441,28012,17261,47503,15887,13530,11833,14922,9347,21172,16755,5733,9592,31757,19774,20191,19685,6840,8785,4821,4365,5887,8216,8701,9268,13697,23887,17726,11148,10006,10619,10201,9911,7897,7742,1098,2181,3523,4222,2144,3268,2514,6211,2014,3384,4086
2022-02-10,2868,11727,36769,34492,18572,10821,9257,3351,2927,10350,1804,3106,4175,6526,9387,14107,14009,3973,7845,2716,6731,7232,5028,22262,2729,9438,11373,13017,19625,12789,8402,19550,13530,26960,19324,6609,30092,21901,21595,16787,20929,93985,37149,18171,17891,20341,17712,20204,19439,9857,24833,5818,6735,15124,3775,3096,3029,9664,8047,10271,22642,7638,10053,6627,18667,18922,21999,31121,31078,22305,20546,47509,16052,26590,28901,17663,49032,16501,13140,12621,15290,9354,29522,16772,6165,9846,32292,21275,20506,19944,7052,8841,4930,4452,6299,8429,8758,9798,13747,24307,18246,11178,10085,10885,10062,10098,8045,7784,1081,2229,3472,4197,2244,3224,2455,6304,2040,3302,4265
