county,town,姓名,號次,得票數,得票率
臺北市,松山區,柯文哲,4,42315,0.3962
臺北市,信義區,柯文哲,4,47620,0.3894
臺北市,大安區,柯文哲,4,60940,0.3853
臺北市,中山區,柯文哲,4,50582,0.4154
臺北市,中正區,柯文哲,4,33748,0.4165
臺北市,大同區,柯文哲,4,31660,0.4529
臺北市,萬華區,柯文哲,4,43379,0.4163
臺北市,文山區,柯文哲,4,56463,0.3882
臺北市,南港區,柯文哲,4,29071,0.4353
臺北市,內湖區,柯文哲,4,65589,0.437
臺北市,士林區,柯文哲,4,63216,0.412
臺北市,北投區,柯文哲,4,56080,0.4182
臺北市,松山區,丁守中,2,46353,0.434
臺北市,信義區,丁守中,2,53812,0.44
臺北市,大安區,丁守中,2,72311,0.4572
臺北市,中山區,丁守中,2,46732,0.3838
臺北市,中正區,丁守中,2,33896,0.4183
臺北市,大同區,丁守中,2,20745,0.2967
臺北市,萬華區,丁守中,2,38520,0.3697
臺北市,文山區,丁守中,2,68549,0.4713
臺北市,南港區,丁守中,2,26271,0.3933
臺北市,內湖區,丁守中,2,61546,0.4101
臺北市,士林區,丁守中,2,55938,0.3645
臺北市,北投區,丁守中,2,52423,0.391
臺北市,松山區,姚文智,3,17285,0.1618
臺北市,信義區,姚文智,3,19849,0.1623
臺北市,大安區,姚文智,3,23646,0.1495
臺北市,中山區,姚文智,3,23476,0.1928
臺北市,中正區,姚文智,3,12631,0.1558
臺北市,大同區,姚文智,3,16895,0.2416
臺北市,萬華區,姚文智,3,21397,0.2053
臺北市,文山區,姚文智,3,18989,0.1305
臺北市,南港區,姚文智,3,10829,0.1621
臺北市,內湖區,姚文智,3,21747,0.1449
臺北市,士林區,姚文智,3,33108,0.2157
臺北市,北投區,姚文智,3,24490,0.1826
